职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
6001-8000元/月,长沙-芙蓉区,全职,不限,不限,3人,ERP实施顾问,100-499人,民营,IT服务(系统/数据/维护)
8001-10000元/月,北京,全职,1-3年,本科,1人,数据分析师,10000人以上,民营,房地产/建筑/建材/工程
4001-6000元/月,济南,全职,1-3年,本科,2人,销售数据分析,500-999人,股份制企业,医疗/护理/美容/保健/卫生服务
6001-8000元/月,北京-海淀区,全职,1-3年,本科,1人,其他,1000-9999人,民营,教育/培训/院校
20001-30000元/月,北京-朝阳区,全职,5-10年,本科,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
8000-16000元/月,北京,全职,1-3年,本科,1人,风险控制,10000人以上,民营,基金/证券/期货/投资
10001-15000元/月,深圳-福田区,全职,3-5年,本科,1人,数据库开发工程师,1000-9999人,民营,基金/证券/期货/投资
15000-25000元/月,深圳,全职,1-3年,本科,1人,高级软件工程师,1000-9999人,民营,基金/证券/期货/投资
面议,北京,全职,3-5年,本科,5人,数据分析师,1000-9999人,外商独资,互联网/电子商务
面议,北京,全职,3-5年,本科,1人,风险管理/控制/稽查,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,5-10年,本科,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,1-3年,本科,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,1-3年,本科,1人,数据库开发工程师,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,3-5年,本科,3人,数据库管理员,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,1-3年,本科,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
面议,北京-大兴区,全职,1-3年,本科,2人,数据分析师,1000-9999人,外商独资,互联网/电子商务
面议,北京,全职,1-3年,本科,1人,市场调研与分析,1000-9999人,外商独资,互联网/电子商务
8001-10000元/月,上海,全职,1-3年,本科,1人,风险控制,1000-9999人,外商独资,基金/证券/期货/投资
面议,北京-朝阳区,全职,1-3年,本科,1人,风险管理/控制/稽查,10000人以上,民营,基金/证券/期货/投资
面议,北京,全职,3-5年,本科,2人,风险管理/控制/稽查,10000人以上,民营,基金/证券/期货/投资
面议,北京,全职,不限,本科,2人,数据分析师,10000人以上,民营,基金/证券/期货/投资
面议,北京,全职,不限,本科,1人,风险控制,10000人以上,民营,基金/证券/期货/投资
20001-30000元/月,北京-宣武区,全职,5-10年,不限,1人,IT项目总监,1000-9999人,合资,基金/证券/期货/投资
20001-30000元/月,北京-通州区,全职,5-10年,本科,2人,市场经理,1000-9999人,合资,基金/证券/期货/投资
20001-30000元/月,北京,全职,1-3年,本科,2人,证券/投资客户总监,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,深圳,全职,1-3年,本科,2人,数据库管理员,1000-9999人,民营,基金/证券/期货/投资
20001-30000元/月,北京-朝阳区,全职,5-10年,本科,2人,销售总监,1000-9999人,合资,基金/证券/期货/投资
面议,北京,全职,1-3年,本科,2人,风险管理/控制/稽查,10000人以上,民营,基金/证券/期货/投资
8000-12000元/月,北京,全职,1-3年,本科,1人,数据运营,1000-9999人,民营,教育/培训/院校
面议,北京-大兴区,全职,5-10年,本科,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,大专,16人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,1-3年,大专,3人,数据分析师,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,中专,16人,工程监理/质量管理,500-999人,股份制企业,基金/证券/期货/投资
面议,深圳-宝安区,全职,1-3年,本科,1人,数据运营,20-99人,外商独资,互联网/电子商务
8001-10000元/月,北京,全职,不限,高中,5人,信息技术经理/主管,500-999人,股份制企业,基金/证券/期货/投资
8000-10000元/月,北京,全职,不限,本科,5人,数据分析师,1000-9999人,国企,媒体/出版/影视/文化传播
10001-15000元/月,北京,全职,1-3年,大专,3人,证券分析/金融研究,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,1-3年,大专,3人,项目专员/助理,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,深圳,全职,不限,本科,1人,数据分析师,1000-9999人,合资,专业服务/咨询(财会/法律/人力资源等)
15001-20000元/月,北京-朝阳区,兼职,不限,大专,3人,高级软件工程师,1000-9999人,合资,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,不限,10人,项目经理/项目主管,100-499人,股份制企业,信托/担保/拍卖/典当
8001-10000元/月,北京-东城区,全职,1-3年,本科,1人,股票/期货操盘手,1000-9999人,合资,基金/证券/期货/投资
4001-6000元/月,西安,全职,不限,不限,3人,数据库管理员,10000人以上,股份制企业,互联网/电子商务
15001-20000元/月,北京-朝阳区,全职,1-3年,大专,5人,大客户销售代表,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,3-5年,中专,5人,投资/理财服务,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,3人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,4人,储备干部,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京-东城区,全职,10年以上,中技,3人,会计经理/主管,1000-9999人,合资,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,3人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
10000-20000元/月,上海-静安区,全职,不限,不限,1人,数据分析师,1000-9999人,民营,教育/培训/院校
10001-15000元/月,北京,全职,不限,大专,2人,广告客户经理,500-999人,股份制企业,基金/证券/期货/投资
30001-50000元/月,北京,全职,1-3年,大专,1人,数据分析师,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,1-3年,大专,5人,证券分析/金融研究,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-通州区,全职,5-10年,大专,2人,会计/会计师,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-海淀区,全职,3-5年,大专,2人,股票/期货操盘手,1000-9999人,合资,基金/证券/期货/投资
6001-8000元/月,郑州,全职,不限,大专,18人,数据分析师,500-999人,股份制企业,计算机软件
6001-8000元/月,北京,全职,3-5年,大专,5人,风险管理/控制/稽查,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-通州区,兼职,不限,大专,5人,证券/期货/外汇经纪人,1000-9999人,合资,基金/证券/期货/投资
面议,武汉,全职,不限,本科,1人,数据库开发工程师,10000人以上,上市公司,计算机软件
6001-8000元/月,南京,全职,不限,大专,2人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6000-10000元/月,北京-东城区,全职,不限,不限,5人,销售代表,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-大兴区,全职,3-5年,大专,2人,风险管理/控制/稽查,1000-9999人,合资,基金/证券/期货/投资
面议,成都,全职,1-3年,本科,4人,其他,1000-9999人,外商独资,互联网/电子商务
25000-50000元/月,北京,全职,1-3年,大专,1人,数据分析师,1000-9999人,合资,基金/证券/期货/投资
6001-8000元/月,郑州,全职,不限,不限,6人,数据分析师,1000-9999人,股份制企业,IT服务(系统/数据/维护)
4001-6000元/月,苏州,全职,不限,大专,5人,数据库开发工程师,1000-9999人,上市公司,IT服务(系统/数据/维护)
6001-8000元/月,北京,全职,不限,本科,3人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,1-3年,大专,3人,证券分析/金融研究,1000-9999人,合资,基金/证券/期货/投资
30001-50000元/月,北京-大兴区,全职,5-10年,本科,2人,软件工程师,1000-9999人,合资,基金/证券/期货/投资
7000-10000元/月,上海-杨浦区,全职,不限,不限,1人,软件工程师,1000-9999人,民营,教育/培训/院校
8001-10000元/月,北京-通州区,全职,1-3年,大专,5人,人力资源专员/助理,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,深圳-福田区,全职,3-5年,本科,1人,数据分析师,10000人以上,外商独资,信托/担保/拍卖/典当
8001-10000元/月,大连,全职,不限,硕士,1人,数据分析师,100-499人,民营,教育/培训/院校
4001-6000元/月,郑州,全职,不限,大专,6人,数据分析师,1000-9999人,股份制企业,计算机软件
6001-8000元/月,郑州,全职,不限,大专,6人,数据分析师,500-999人,股份制企业,计算机软件
25000-50000元/月,北京,全职,1-3年,大专,1人,数据分析师,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京-通州区,全职,1-3年,大专,3人,外汇交易,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,1-3年,大专,3人,证券分析/金融研究,1000-9999人,合资,基金/证券/期货/投资
6500-13000元/月,北京,全职,不限,不限,3人,数据分析师,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,兼职,不限,大专,15人,行政专员/助理,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,大专,6人,投资/理财服务,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-西城区,兼职,1-3年,大专,5人,建筑设计师,1000-9999人,合资,基金/证券/期货/投资
4001-6000元/月,北京,全职,不限,大专,6人,实习生,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,郑州,全职,不限,不限,6人,数据分析师,1000-9999人,股份制企业,IT服务(系统/数据/维护)
6001-8000元/月,北京-石景山区,全职,不限,大专,2人,会计/会计师,1000-9999人,合资,基金/证券/期货/投资
30001-50000元/月,北京,全职,1-3年,大专,1人,理财顾问/财务规划师,1000-9999人,合资,基金/证券/期货/投资
7000-14000元/月,天津-和平区,全职,不限,本科,4人,数据分析师,10000人以上,外商独资,信托/担保/拍卖/典当
5000-10000元/月,广州,全职,1-3年,本科,1人,销售数据分析,1000-9999人,民营,教育/培训/院校
10001-15000元/月,北京-平谷区,全职,3-5年,大专,1人,综合业务经理/主管,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,不限,1人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,南京,全职,1-3年,大专,2人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,南京,全职,不限,大专,2人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
4001-6000元/月,南京,全职,不限,大专,3人,系统分析员,500-999人,上市公司,IT服务(系统/数据/维护)
面议,北京,全职,3-5年,本科,1人,互联网产品经理/主管,1000-9999人,上市公司,互联网/电子商务
10001-15000元/月,上海,全职,不限,本科,999人,数据运营,10000人以上,上市公司,互联网/电子商务
20000-40000元/月,北京,全职,5-10年,不限,1人,数据运营,1000-9999人,合资,通信/电信运营、增值服务
8001-10000元/月,北京-朝阳区,全职,不限,不限,1人,销售工程师,100-499人,股份制企业,基金/证券/期货/投资
面议,北京,全职,3-5年,硕士,1人,数据分析师,1000-9999人,外商独资,互联网/电子商务
10001-15000元/月,北京,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
